iter	RMSE
0	2.059861842
1	1.997940727
2	1.944112528
3	1.908428782
4	1.871773284
5	1.837805925
6	1.81632192
7	1.791306555
8	1.766307117
9	1.72682193
10	1.705286436
11	1.684652
12	1.671666606
13	1.653322697
14	1.640973156
15	1.622961093
16	1.605302147
17	1.593455294
18	1.566546709
19	1.552342078
20	1.546081327
21	1.537097468
22	1.528737694
23	1.526157562
24	1.524604912
25	1.515313117
26	1.498527753
27	1.493011973
28	1.486919477
29	1.483725544
30	1.472472181
31	1.463541095
32	1.463415901
33	1.4586305
34	1.454822697
35	1.444692275
36	1.44469225
37	1.429694819
38	1.423274939
39	1.415993319
40	1.40992267
41	1.404089694
42	1.398287068
43	1.387837451
44	1.38371682
45	1.374574952
46	1.365886094
47	1.364151071
48	1.35132062
49	1.342682586
50	1.325237795
51	1.321270017
52	1.317777451
53	1.313212361
54	1.307886972
55	1.296958937
56	1.286563994
57	1.283031954
58	1.273505841
59	1.26316888
60	1.253042976
61	1.250278382
62	1.247435595
63	1.24501251
64	1.240750604
65	1.22504856
66	1.22167611
67	1.217311796
68	1.212799157
69	1.201720643
70	1.195537733
71	1.192857158
72	1.188589678
73	1.185003234
74	1.178569793
75	1.174322108
76	1.169608684
77	1.16201495
78	1.160625316
79	1.150640154
80	1.14660506
81	1.14473586
82	1.142702164
83	1.138661699
84	1.127222313
85	1.121266218
86	1.108900069
87	1.098927401
88	1.09317794
89	1.088115666
90	1.083319228
91	1.071923578
92	1.065698918
93	1.061969806
94	1.057930814
95	1.053254055
96	1.051426824
97	1.048442419
98	1.044953496
99	1.039456504
100	1.033785902
101	1.028309776
102	1.020567789
103	1.019263044
104	1.017730253
105	1.012915111
106	1.004457347
107	1.000906251
108	0.9961417283
109	0.9902993492
110	0.9865261773
111	0.9822232103
112	0.9751084368
113	0.9695564239
114	0.9659239168
115	0.9606110226
116	0.9590255878
117	0.9562779808
118	0.9516428349
119	0.9446684281
120	0.9433716576
121	0.9419298542
122	0.9379726393
123	0.9333775332
124	0.9266559248
125	0.9244794951
126	0.9214191741
127	0.9193962593
128	0.9132564806
129	0.9090389997
130	0.9040731901
131	0.9012718595
132	0.8963697113
133	0.8902873707
134	0.8822053014
135	0.8791928974
136	0.8780660968
137	0.874662458
138	0.8719292131
139	0.8659860995
140	0.8626273704
141	0.8604763557
142	0.8573135873
143	0.8549649165
144	0.8491067302
145	0.8438963736
146	0.8403084556
147	0.833962941
148	0.8310460926
149	0.8292088169
150	0.8275316599
151	0.8195648223
152	0.8151444948
153	0.8131350353
154	0.8085865942
155	0.7998993386
156	0.7983065986
157	0.7976423935
158	0.7945572787
159	0.7902044197
160	0.7864456445
161	0.7847015719
162	0.7788403285
163	0.7764231067
164	0.7739546562
165	0.7711708407
166	0.770073971
167	0.7683061071
168	0.7643365227
169	0.7603203511
170	0.7591564713
171	0.7545646885
172	0.7512117883
173	0.7500391179
174	0.7468069093
175	0.7448658646
176	0.7425855735
177	0.7393417206
178	0.7350688581
179	0.7340177254
180	0.7335982997
181	0.7310157613
182	0.7283780781
183	0.7275756693
184	0.7246462804
185	0.7215965877
186	0.7163596515
187	0.714500773
188	0.7136064123
189	0.7112258336
190	0.7105429642
191	0.7102078257
192	0.7070875131
193	0.7054558383
194	0.7038112146
