iter	Passed	Remaining
0	31	15654
1	63	15782
2	85	14155
3	112	13932
4	138	13686
5	169	13948
6	191	13491
7	214	13170
8	234	12799
9	252	12365
10	273	12177
11	299	12171
12	317	11890
13	348	12096
14	370	11976
15	397	12031
16	415	11817
17	434	11643
18	457	11592
19	474	11386
20	491	11199
21	507	11023
22	519	10772
23	536	10644
24	549	10442
25	566	10334
26	603	10566
27	621	10471
28	639	10388
29	651	10199
30	658	9969
31	674	9859
32	681	9646
33	698	9580
34	721	9590
35	744	9594
36	747	9349
37	764	9292
38	789	9329
39	811	9332
40	825	9245
41	847	9240
42	874	9291
43	900	9328
44	917	9273
45	931	9192
46	958	9238
47	962	9063
48	982	9044
49	987	8891
50	997	8778
51	1010	8703
52	1024	8637
53	1053	8698
54	1077	8721
55	1091	8652
56	1110	8628
57	1122	8552
58	1134	8481
59	1161	8519
60	1175	8462
61	1183	8358
62	1209	8391
63	1223	8338
64	1243	8322
65	1257	8265
66	1290	8341
67	1305	8291
68	1328	8297
69	1355	8327
70	1364	8242
71	1378	8193
72	1400	8193
73	1418	8168
74	1436	8142
75	1459	8144
76	1486	8166
77	1506	8150
78	1524	8123
79	1545	8116
80	1571	8127
81	1590	8106
82	1603	8057
83	1627	8061
84	1653	8072
85	1667	8026
86	1695	8051
87	1720	8055
88	1725	7970
89	1743	7942
90	1763	7927
91	1784	7911
92	1808	7912
93	1822	7872
94	1836	7831
95	1858	7823
96	1872	7781
97	1881	7717
98	1916	7761
99	1945	7781
100	1961	7748
101	1983	7740
102	2007	7735
103	2029	7728
104	2047	7702
105	2074	7709
106	2084	7655
107	2109	7657
108	2131	7644
109	2148	7617
110	2162	7580
111	2184	7566
112	2198	7528
113	2221	7520
114	2247	7525
115	2268	7510
116	2277	7454
117	2293	7424
118	2320	7428
119	2343	7419
120	2369	7421
121	2394	7419
122	2416	7406
123	2434	7381
124	2448	7345
125	2470	7333
126	2489	7310
127	2514	7308
128	2532	7284
129	2552	7263
130	2569	7236
131	2588	7215
132	2602	7181
133	2626	7172
134	2634	7122
135	2646	7083
136	2660	7049
137	2683	7038
138	2708	7033
139	2725	7007
140	2747	6995
141	2754	6945
142	2776	6931
143	2797	6916
144	2822	6910
145	2843	6893
146	2861	6870
147	2875	6839
148	2882	6790
149	2900	6768
150	2926	6763
151	2950	6755
152	2969	6734
153	2987	6712
154	3000	6679
155	3023	6667
156	3027	6615
157	3047	6595
158	3060	6564
159	3083	6552
160	3113	6555
161	3135	6541
162	3157	6528
163	3176	6507
164	3193	6484
165	3202	6444
166	3228	6436
167	3236	6396
168	3254	6374
169	3268	6345
170	3284	6318
171	3293	6281
172	3318	6271
173	3341	6260
174	3363	6247
175	3385	6233
176	3407	6218
177	3433	6211
178	3455	6196
179	3469	6168
180	3495	6159
181	3514	6140
182	3538	6128
183	3566	6124
184	3584	6103
185	3603	6083
186	3630	6076
187	3657	6070
188	3681	6058
189	3700	6038
190	3711	6003
191	3719	5966
192	3738	5946
193	3766	5940
194	3784	5920
